,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
1993,Edmonton Oilers,Florida Panthers,1,15,4,3,1,1
1994,Montreal Canadiens,Pittsburgh Penguins,9,18,1,4,1,1
1995,Los Angeles Kings,San Jose Sharks,26,6,2,3,1,1
1996,Anaheim Ducks,Colorado Avalanche,11,13,2,1,1,1
1997,St Louis Blues,Washington Capitals,3,2,3,7,1,1
1998,Minnesota Wild,Arizona Coyotes,19,29,4,3,1,1
1999,San Jose Sharks,Tampa Bay Lightning,6,16,2,1,1,1
2000,Calgary Flames,Nashville Predators,12,20,3,4,1,1
2001,Toronto Maple Leafs,New York Rangers,5,14,2,5,1,1
2002,Columbus Blue Jackets,Ottawa Senators,25,4,0,2,1,1
2003,New York Islanders,Dallas Stars,23,8,3,0,1,1
2004,Boston Bruins,Chicago Blackhawks,7,21,0,1,1,1
2005,New Jersey Devils,Montreal Canadiens,24,9,1,3,1,1
2006,Vancouver Canucks,Florida Panthers,0,15,2,1,1,1
2007,Carolina Hurricanes,Pittsburgh Penguins,10,18,1,7,1,1
2008,Edmonton Oilers,Nashville Predators,1,20,2,2,1,1
2009,Buffalo Sabres,Detroit Red Wings,17,27,3,2,1,1
2010,San Jose Sharks,Colorado Avalanche,6,13,3,2,1,1
2011,Winnipeg Jets,St Louis Blues,28,3,5,3,1,1
2012,Dallas Stars,Washington Capitals,8,2,3,4,1,1
2013,Philadelphia Flyers,New Jersey Devils,22,24,1,4,1,1
2014,Minnesota Wild,Anaheim Ducks,19,11,5,3,1,1
2015,Columbus Blue Jackets,Carolina Hurricanes,25,10,3,2,1,1
2016,New York Islanders,Los Angeles Kings,23,26,4,2,1,1
2017,Arizona Coyotes,Tampa Bay Lightning,29,16,5,3,1,1
2018,Calgary Flames,Edmonton Oilers,12,1,3,7,1,1
2019,Montreal Canadiens,Buffalo Sabres,9,17,2,3,1,1
2020,Toronto Maple Leafs,Ottawa Senators,5,4,2,2,1,1
2021,Ottawa Senators,Columbus Blue Jackets,4,25,6,7,1,1
2022,Pittsburgh Penguins,Boston Bruins,18,7,5,1,1,1
2023,Chicago Blackhawks,Vancouver Canucks,21,0,4,2,1,1
2024,New York Islanders,Philadelphia Flyers,23,22,2,3,1,1
2025,Minnesota Wild,Nashville Predators,19,20,2,4,1,1
2026,Detroit Red Wings,New York Rangers,27,14,0,1,1,1
2027,Winnipeg Jets,Anaheim Ducks,28,11,2,3,1,1
2028,Toronto Maple Leafs,Calgary Flames,5,12,4,0,1,1
2029,Washington Capitals,Carolina Hurricanes,2,10,6,1,1,1
2030,New York Rangers,Los Angeles Kings,14,26,3,2,1,1
2031,Arizona Coyotes,Florida Panthers,29,15,3,2,1,1
2032,Colorado Avalanche,San Jose Sharks,13,6,2,5,1,1
2033,New York Islanders,Columbus Blue Jackets,23,25,4,2,1,1
2034,Pittsburgh Penguins,St Louis Blues,18,3,0,3,1,1
2035,Ottawa Senators,Washington Capitals,4,2,3,0,1,1
2036,Montreal Canadiens,Calgary Flames,9,12,5,1,1,1
2037,New Jersey Devils,Los Angeles Kings,24,26,1,3,1,1
2038,Chicago Blackhawks,Tampa Bay Lightning,21,16,2,5,1,1
2039,Boston Bruins,Detroit Red Wings,7,27,4,3,1,1
2040,Nashville Predators,Buffalo Sabres,20,17,4,5,1,1
2041,Winnipeg Jets,San Jose Sharks,28,6,3,4,1,1
2042,Dallas Stars,Minnesota Wild,8,19,2,2,1,1
2043,Colorado Avalanche,Vancouver Canucks,13,0,2,3,1,1
2044,New York Rangers,Philadelphia Flyers,14,22,0,2,1,1
2045,Detroit Red Wings,Toronto Maple Leafs,27,5,0,4,1,1
2046,Anaheim Ducks,Edmonton Oilers,11,1,0,4,1,1
2047,Nashville Predators,Columbus Blue Jackets,20,25,4,3,1,1
2048,Minnesota Wild,St Louis Blues,19,3,5,1,1,1
2049,New York Islanders,Montreal Canadiens,23,9,3,1,1,1
2050,Arizona Coyotes,Vancouver Canucks,29,0,3,0,1,1
2051,New Jersey Devils,Washington Capitals,24,2,2,5,1,1
2052,Ottawa Senators,Calgary Flames,4,12,2,3,1,1
2053,Chicago Blackhawks,Winnipeg Jets,21,28,3,5,1,1
2054,Carolina Hurricanes,Los Angeles Kings,10,26,0,3,1,1
2055,Florida Panthers,Tampa Bay Lightning,15,16,2,1,1,1
2056,Philadelphia Flyers,Toronto Maple Leafs,22,5,2,1,1,1
2057,San Jose Sharks,Edmonton Oilers,6,1,1,4,1,1
2058,Boston Bruins,Pittsburgh Penguins,7,18,4,3,1,1
2059,Dallas Stars,Buffalo Sabres,8,17,4,3,1,1
2060,Anaheim Ducks,Colorado Avalanche,11,13,5,1,1,1
2061,San Jose Sharks,Chicago Blackhawks,6,21,3,1,1,1
2062,New York Rangers,Columbus Blue Jackets,14,25,4,6,1,1
2063,Tampa Bay Lightning,Boston Bruins,16,7,3,4,1,1
2064,New York Islanders,Washington Capitals,23,2,3,2,1,1
2065,Detroit Red Wings,New Jersey Devils,27,24,3,4,1,1
2066,Carolina Hurricanes,Philadelphia Flyers,10,22,5,1,1,1
2067,St Louis Blues,Winnipeg Jets,3,28,3,5,1,1
2068,Arizona Coyotes,Los Angeles Kings,29,26,2,3,1,1
2069,Dallas Stars,Toronto Maple Leafs,8,5,6,3,1,1
2070,Pittsburgh Penguins,Nashville Predators,18,20,4,2,1,1
2071,Montreal Canadiens,Buffalo Sabres,9,17,5,2,1,1
2072,Florida Panthers,Ottawa Senators,15,4,6,5,1,1
2073,Edmonton Oilers,Minnesota Wild,1,19,2,5,1,1
2074,Los Angeles Kings,Colorado Avalanche,26,13,5,0,1,1
2075,Washington Capitals,Boston Bruins,2,7,5,3,1,1
2076,Calgary Flames,Minnesota Wild,12,19,5,1,1,1
2077,Arizona Coyotes,Chicago Blackhawks,29,21,3,4,1,1
2078,Philadelphia Flyers,Montreal Canadiens,22,9,3,1,1,1
2079,Dallas Stars,Winnipeg Jets,8,28,3,4,1,1
2080,St Louis Blues,Toronto Maple Leafs,3,5,5,1,1,1
2081,Nashville Predators,Edmonton Oilers,20,1,2,0,1,1
2082,Buffalo Sabres,New York Rangers,17,14,1,2,1,1
2083,Tampa Bay Lightning,Ottawa Senators,16,4,2,5,1,1
2084,Vancouver Canucks,San Jose Sharks,0,6,1,4,1,1
2085,Pittsburgh Penguins,Columbus Blue Jackets,18,25,4,3,1,1
2086,Florida Panthers,Anaheim Ducks,15,11,2,1,1,1
2087,New Jersey Devils,Calgary Flames,24,12,3,4,1,1
2088,Detroit Red Wings,New York Islanders,27,23,5,4,1,1
2089,Carolina Hurricanes,Edmonton Oilers,10,1,2,1,1,1
2090,Dallas Stars,Chicago Blackhawks,8,21,3,5,1,1
2091,Montreal Canadiens,Washington Capitals,9,2,2,3,1,1
2092,San Jose Sharks,Arizona Coyotes,6,29,2,2,1,1
2093,Columbus Blue Jackets,New Jersey Devils,25,24,1,5,1,1
2094,Tampa Bay Lightning,Anaheim Ducks,16,11,2,2,1,1
2095,New York Islanders,Carolina Hurricanes,23,10,4,5,1,1
2096,Colorado Avalanche,Winnipeg Jets,13,28,5,2,1,1
2097,Philadelphia Flyers,Los Angeles Kings,22,26,0,1,1,1
2098,Boston Bruins,Toronto Maple Leafs,7,5,5,6,1,1
